SESA,SESB,FSIQ,VIQ,PIQ,Bmomed,Bdaded,Amomed,Adaded,Bwt
0,0,92,97,88,7,,5,7,3450
0,0,91,88,95,7,,5,7,3460
0,0,98,98,99,6,,6,6,3200
0,0,83,91,77,7,,7,7,2410
0,0,99,99,99,5,,7,7,2700
0,0,68,60,85,5,,7,7,3000
0,0,76,72,85,7,,5,7,1500
0,0,115,109,118,7,,5,5,3540
0,0,86,87,87,7,,7,5,3400
0,0,116,120,107,9,,7,7,3400
0,1,98,97,101,13,17,7,8,3550
0,1,99,121,75,13,14,7,7,2050
0,1,91,90,95,14,14,7,7,3520
0,1,124,125,117,14,15,5,5,2960
0,1,100,107,92,14,16,5,5,3190
0,1,116,125,102,13,15,9,7,3000
0,1,113,113,110,15,20,9,7,3600
0,1,119,120,113,15,15,7,7,3050
1,0,94,93,96,5,,14,23,2950
1,0,103,99,107,7,,19,19,3100
1,0,99,98,101,7,,15,17,3350
1,0,125,126,118,7,,18,20,2910
1,0,111,113,107,7,,15,19,3660
1,0,93,102,84,5,,17,19,3200
1,0,101,98,105,7,,15,15,2920
1,0,94,98,91,7,,18,16,3780
1,0,125,127,117,7,,17,17,3280
1,0,91,97,85,7,,15,17,2770
1,1,136,142,123,14,14,23,23,3700
1,1,99,105,92,14,16,17,17,3000
1,1,121,117,121,14,17,15,15,3710
1,1,133,133,125,15,14,17,19,3300
1,1,125,114,132,14,16,15,17,3820
1,1,131,120,136,16,16,15,19,3800
1,1,103,96,112,14,14,14,15,3140
1,1,115,108,120,14,14,14,17,2970
1,1,116,129,98,15,20,14,16,3300
1,1,117,114,117,16,20,15,19,2500
